full_name,age,monthly_income,loan_amount,loan_term_months,credit_history_years,late_payments_12m,existing_debt,num_credit_cards,credit_utilization,employment_years,employment_type,home_ownership,loan_purpose,collateral_type,number_of_dependents,recent_credit_inquiries,default
KH_00099,25,7232775.0,102209368.0,24,24.4,1,11437273.0,2,0.718,2.02,full_time,rent,business,vehicle,0,0,1
KH_00100,65,50758581.0,170573255.0,24,6.48,0,79997587.0,0,0.263,26.08,self_employed,rent,vehicle,none,4,1,0
KH_00101,29,17229087.0,60573923.0,6,7.57,0,81076701.0,7,0.34,9.16,contract,rent,business,vehicle,0,2,0
KH_00102,63,62198765.0,27905647.0,18,12.19,0,2531528.0,8,0.164,17.75,part_time,mortgage,personal,none,3,2,0
KH_00103,18,39815379.0,122594928.0,120,19.36,0,10100196.0,3,0.418,6.3,full_time,own,vehicle,none,4,3,0
KH_00104,63,10714276.0,49945158.0,60,1.49,0,88851823.0,8,0.277,8.3,full_time,own,home,real_estate,1,1,0
KH_00105,62,17032587.0,54539608.0,6,10.67,0,30616312.0,8,0.732,26.55,self_employed,family,personal,none,0,1,0
KH_00106,62,19473341.0,79715929.0,120,2.45,3,64430169.0,3,0.703,25.95,part_time,rent,home,vehicle,2,1,0
KH_00107,55,48543914.0,65594243.0,48,5.15,0,34395328.0,8,0.249,22.67,full_time,family,vehicle,real_estate,3,0,0
KH_00108,44,23921037.0,231214486.0,6,15.43,0,41080056.0,7,0.113,11.77,full_time,own,personal,none,2,1,0
KH_00109,58,20185448.0,78106975.0,60,0.53,0,94075955.0,3,0.262,12.76,part_time,mortgage,debt_consolidation,none,2,1,0
KH_00110,33,15806955.0,241336412.0,84,21.65,2,10629506.0,1,0.582,10.04,full_time,own,vehicle,vehicle,1,2,0
KH_00111,62,17418096.0,107224362.0,36,2.85,0,22488885.0,5,0.62,15.59,full_time,rent,education,none,0,1,0
KH_00112,49,42028864.0,83476071.0,48,20.23,2,12423628.0,4,0.083,16.05,full_time,rent,business,none,2,0,0
KH_00113,44,18043405.0,102955523.0,24,10.56,0,45928599.0,0,0.392,5.6,unemployed,own,vehicle,savings,2,1,1
KH_00114,46,13924133.0,30021815.0,36,14.42,1,9469918.0,2,0.164,8.11,full_time,own,personal,real_estate,4,0,0
KH_00115,50,12471451.0,119962031.0,48,10.69,1,88102942.0,3,0.211,8.24,full_time,rent,home,none,3,0,0
KH_00116,20,12558835.0,185234126.0,36,9.87,1,20501914.0,7,0.264,19.9,full_time,mortgage,education,none,0,1,0
KH_00117,25,7235572.0,208936950.0,24,15.48,0,58372204.0,5,0.282,1.58,full_time,rent,vehicle,none,1,0,1
KH_00118,31,11052181.0,28515896.0,36,7.84,4,16684458.0,1,0.136,10.17,full_time,rent,business,none,1,0,1
KH_00119,24,47672034.0,24746313.0,60,1.0,0,78502521.0,1,0.069,14.85,self_employed,own,debt_consolidation,vehicle,3,1,1
KH_00120,43,15738064.0,57026378.0,60,0.91,1,114752014.0,8,0.135,0.91,self_employed,rent,personal,none,0,1,1
KH_00121,56,28452594.0,292005511.0,12,7.79,1,74959205.0,1,0.369,25.32,contract,rent,vehicle,none,0,2,0
KH_00122,55,4000000.0,108596454.0,24,5.13,2,14481886.0,8,0.305,21.11,part_time,own,education,savings,4,0,0
KH_00123,44,26043653.0,46586869.0,6,0.68,1,150660641.0,8,0.423,19.16,full_time,family,business,vehicle,1,2,1
KH_00124,66,16207798.0,26175167.0,36,2.51,0,69868810.0,6,0.501,14.29,full_time,rent,debt_consolidation,savings,0,1,0
KH_00125,50,13163341.0,50320813.0,18,21.97,0,18540952.0,5,0.436,6.21,full_time,rent,vehicle,vehicle,4,0,0
KH_00126,22,20246779.0,47512423.0,84,12.3,0,46257572.0,8,0.635,8.64,full_time,rent,medical,savings,0,1,0
KH_00127,61,13040832.0,199354517.0,36,9.61,1,162716019.0,5,0.413,11.74,full_time,own,medical,real_estate,1,1,1
KH_00128,50,4526066.0,212825436.0,24,22.52,1,14290525.0,4,0.18,21.44,full_time,mortgage,business,vehicle,0,0,1
KH_00129,54,32780470.0,36869811.0,48,14.22,0,13890372.0,7,0.514,16.34,part_time,rent,business,guarantor,2,2,0
KH_00130,50,21080178.0,170715909.0,12,3.81,1,30767611.0,1,0.032,6.61,self_employed,rent,business,none,0,2,0
KH_00131,49,14677404.0,156483885.0,12,17.74,0,8624063.0,5,0.407,12.13,self_employed,family,business,none,0,1,0
KH_00132,23,9605648.0,33018928.0,12,17.54,0,39022418.0,7,0.725,11.94,full_time,own,home,savings,0,1,0
KH_00133,49,6923797.0,83810959.0,36,6.94,0,72652424.0,5,0.163,25.59,unemployed,own,home,savings,3,1,0
KH_00134,63,20819749.0,120242034.0,60,16.93,1,41515288.0,2,0.476,15.46,full_time,own,personal,vehicle,2,2,0
KH_00135,35,51372776.0,103395328.0,18,3.82,2,16943182.0,2,0.084,12.26,full_time,own,business,none,2,0,0
KH_00136,52,20541145.0,21027892.0,48,24.15,1,86771782.0,5,0.354,5.38,full_time,rent,business,savings,1,0,0
KH_00137,19,7327077.0,100616349.0,6,14.89,1,29505621.0,3,0.319,11.39,contract,mortgage,business,none,0,1,0
KH_00138,37,20836320.0,154568108.0,24,7.31,1,15883841.0,3,0.075,16.0,part_time,rent,vehicle,none,1,0,0
KH_00139,42,17386583.0,344627703.0,36,22.57,2,45327096.0,2,0.344,8.51,contract,rent,debt_consolidation,none,3,0,0
KH_00140,74,31563460.0,50975093.0,60,12.97,1,116738935.0,0,0.6,29.87,self_employed,own,debt_consolidation,guarantor,1,1,0
KH_00141,30,26702263.0,56609368.0,84,22.23,2,19606533.0,5,0.495,9.9,full_time,mortgage,personal,vehicle,1,1,0
KH_00142,33,4000000.0,75359720.0,36,2.2,1,173409419.0,2,0.934,24.47,full_time,rent,vehicle,vehicle,1,0,1
KH_00143,41,25656044.0,115277608.0,24,7.85,0,37828435.0,5,0.771,26.14,full_time,rent,vehicle,none,1,1,0
KH_00144,74,9375596.0,97736470.0,12,10.01,1,39754067.0,8,0.621,26.12,full_time,rent,business,real_estate,4,0,0
KH_00145,66,7143823.0,150426029.0,18,6.17,0,39258550.0,1,0.53,26.72,full_time,mortgage,business,vehicle,4,2,0
KH_00146,19,15924583.0,34584345.0,60,12.33,0,20120962.0,7,0.312,5.99,self_employed,rent,business,vehicle,0,1,0
KH_00147,31,23511813.0,126107574.0,36,8.74,1,9857496.0,6,0.199,25.16,full_time,rent,vehicle,guarantor,2,0,0
KH_00148,64,6195940.0,47890952.0,24,22.48,2,247468770.0,2,0.116,9.94,full_time,rent,business,none,0,0,1
KH_00149,21,28455641.0,79676593.0,18,6.39,1,10755628.0,1,0.188,3.79,full_time,rent,personal,guarantor,2,0,0
KH_00150,66,29563545.0,384376005.0,12,4.92,0,121291100.0,3,0.162,13.43,full_time,own,education,vehicle,0,0,0
KH_00151,34,18558099.0,27420839.0,48,24.76,1,197294689.0,6,0.526,7.58,contract,rent,personal,none,0,2,0
KH_00152,70,10241175.0,70970360.0,24,17.63,0,17144998.0,5,0.626,12.75,full_time,mortgage,medical,none,2,1,0
KH_00153,34,9523630.0,30458368.0,84,0.34,0,64980994.0,0,0.247,19.98,full_time,own,debt_consolidation,none,1,0,0
KH_00154,42,35065847.0,102505602.0,24,21.86,0,69810488.0,1,0.294,5.54,contract,mortgage,vehicle,vehicle,0,4,0
KH_00155,55,6740115.0,219380496.0,60,4.25,0,69963414.0,8,0.068,23.56,full_time,rent,education,savings,0,0,0
KH_00156,25,35955338.0,103961072.0,12,17.95,0,18622352.0,2,0.691,16.81,self_employed,rent,personal,savings,2,3,0
KH_00157,49,16167326.0,81499851.0,12,0.26,2,23757580.0,0,0.546,6.76,self_employed,own,personal,none,4,0,0
KH_00158,46,16912945.0,278370135.0,18,6.82,1,78227065.0,2,0.497,8.93,full_time,own,vehicle,none,2,2,1
KH_00159,62,5930537.0,119192131.0,12,21.91,1,6792423.0,0,0.535,7.39,full_time,rent,vehicle,none,0,1,0
KH_00160,74,16362726.0,180628208.0,120,0.23,1,4730838.0,4,0.616,29.88,part_time,mortgage,personal,none,0,1,0
KH_00161,55,26821461.0,165302718.0,48,11.23,1,38840599.0,0,0.623,3.98,full_time,rent,personal,vehicle,2,0,0
KH_00162,41,7551190.0,7806879.0,24,9.08,1,30760270.0,0,0.109,9.01,contract,own,home,savings,1,2,0
KH_00163,41,24890472.0,84321864.0,36,5.34,1,40967358.0,4,0.204,2.26,full_time,own,personal,guarantor,1,0,0
KH_00164,41,19072161.0,35997388.0,36,2.5,0,16997939.0,5,0.182,5.99,self_employed,own,debt_consolidation,real_estate,1,0,0
KH_00165,64,11845293.0,44473358.0,36,9.09,0,76733800.0,4,0.149,23.49,full_time,mortgage,personal,none,1,1,0
KH_00166,36,31371796.0,315200159.0,12,9.15,1,81768812.0,1,0.053,15.47,full_time,own,personal,none,0,1,0
KH_00167,27,4301246.0,65445973.0,24,2.42,1,41226701.0,1,0.561,26.34,full_time,family,personal,none,1,0,1
KH_00168,37,22549530.0,449660403.0,12,17.18,1,9327211.0,4,0.355,12.11,self_employed,own,debt_consolidation,guarantor,4,1,1
KH_00169,19,51573327.0,27201565.0,60,2.77,0,99171274.0,6,0.24,26.88,full_time,rent,debt_consolidation,guarantor,2,0,0
KH_00170,24,45894019.0,35826560.0,24,9.32,0,6040966.0,4,0.105,25.2,full_time,mortgage,business,guarantor,2,2,0
KH_00171,23,23190579.0,172053888.0,48,23.05,1,9907978.0,1,0.587,1.6,full_time,rent,education,vehicle,3,1,0
KH_00172,61,14794852.0,67332557.0,60,9.15,0,74788087.0,3,0.495,7.46,full_time,family,vehicle,savings,3,1,0
KH_00173,59,11906686.0,116867160.0,24,17.31,1,11352395.0,8,0.451,20.84,part_time,rent,personal,none,0,1,0
KH_00174,57,14782884.0,81805859.0,12,11.15,0,16757683.0,8,0.134,12.31,full_time,mortgage,home,none,3,1,1
KH_00175,44,25632126.0,79727922.0,24,15.22,0,39994176.0,3,0.317,11.04,self_employed,rent,debt_consolidation,none,3,0,0
KH_00176,58,10651101.0,69491818.0,36,19.21,3,87925834.0,8,0.256,1.68,full_time,own,education,real_estate,1,1,0
KH_00177,27,29450098.0,104834092.0,24,11.42,2,62561149.0,4,0.486,23.06,self_employed,mortgage,business,real_estate,2,0,0
KH_00178,69,72018721.0,155275695.0,12,16.52,0,131191910.0,6,0.482,0.12,part_time,mortgage,debt_consolidation,vehicle,2,2,0
KH_00179,46,17290335.0,354982502.0,12,12.62,0,22316882.0,6,0.298,20.87,part_time,rent,debt_consolidation,savings,2,3,0
KH_00180,71,7512101.0,75767847.0,48,7.91,1,14715278.0,4,0.454,23.17,full_time,own,business,none,0,1,0
KH_00181,26,7510392.0,64406665.0,48,19.69,0,9710792.0,7,0.169,20.39,part_time,rent,business,none,2,3,0
KH_00182,46,29818809.0,57726558.0,12,9.2,1,39139944.0,8,0.831,15.9,full_time,rent,business,real_estate,0,1,0
KH_00183,57,17314369.0,313916161.0,48,1.45,1,46045384.0,7,0.717,3.32,part_time,mortgage,medical,real_estate,3,1,1
KH_00184,46,31826900.0,161836381.0,24,6.73,0,404927612.0,4,0.494,28.48,self_employed,own,home,real_estate,0,1,1
KH_00185,43,12724248.0,17914873.0,12,16.56,1,64611073.0,3,0.411,27.33,full_time,own,personal,none,1,0,0
KH_00186,27,30885199.0,17255951.0,24,16.17,1,6307925.0,1,0.354,12.78,self_employed,rent,business,vehicle,2,1,0
KH_00187,39,16239999.0,44445356.0,48,13.79,1,110532699.0,6,0.128,26.29,full_time,mortgage,debt_consolidation,none,1,1,0
KH_00188,31,11181315.0,109446221.0,36,11.2,1,15035214.0,6,0.609,7.78,full_time,family,business,savings,0,0,0
KH_00189,35,13869924.0,87475614.0,24,7.34,1,9419035.0,0,0.624,11.96,full_time,rent,business,vehicle,0,1,1
KH_00190,56,8267122.0,139403337.0,18,1.73,1,98510947.0,6,0.647,23.81,full_time,own,business,real_estate,1,1,1
KH_00191,53,65592114.0,77531379.0,24,5.97,1,81149899.0,5,0.505,4.69,self_employed,rent,home,savings,2,0,0
KH_00192,52,16906930.0,295188940.0,24,24.89,0,104082059.0,5,0.321,21.23,self_employed,mortgage,vehicle,vehicle,1,1,0
KH_00193,38,27366124.0,173487290.0,24,21.97,0,18748856.0,3,0.719,1.91,self_employed,mortgage,personal,guarantor,3,0,0
KH_00194,72,12697522.0,96134647.0,24,1.4,0,323342022.0,6,0.538,1.89,full_time,rent,debt_consolidation,none,2,0,1
KH_00195,22,9084945.0,238256586.0,24,23.44,0,87488147.0,0,0.307,26.08,self_employed,rent,personal,none,1,0,0
KH_00196,37,15461444.0,22158904.0,12,19.16,0,13532827.0,1,0.22,5.78,part_time,family,personal,none,2,0,0
KH_00197,24,36823893.0,83721529.0,24,2.47,0,321646331.0,7,0.519,13.87,full_time,rent,business,none,2,1,0
KH_00198,37,12831410.0,101159161.0,12,10.78,2,62368153.0,6,0.347,22.65,self_employed,rent,personal,vehicle,1,4,1
KH_00199,72,10221834.0,150135872.0,36,4.07,0,34412818.0,7,0.125,13.0,contract,rent,business,none,0,2,0
KH_00200,38,19914010.0,20945390.0,24,17.32,1,20017534.0,8,0.375,9.95,contract,family,personal,none,2,1,0
KH_00201,69,24896729.0,72129549.0,36,16.93,1,1406065.0,1,0.631,15.95,full_time,rent,education,guarantor,2,3,0
KH_00202,46,52364196.0,126494819.0,12,5.18,2,75199324.0,1,0.161,18.04,full_time,own,medical,vehicle,0,1,0
KH_00203,57,22653391.0,135016565.0,24,19.3,0,18824510.0,1,0.464,2.12,full_time,rent,personal,guarantor,1,1,0
KH_00204,44,27356851.0,246662261.0,12,7.94,1,27657524.0,4,0.2,2.93,full_time,own,education,none,2,0,0
KH_00205,33,28728816.0,171930307.0,12,12.34,0,31727970.0,1,0.492,19.33,part_time,family,education,none,3,7,0
KH_00206,61,8507191.0,85463598.0,48,2.83,0,14767053.0,8,0.432,16.4,full_time,rent,vehicle,savings,3,1,0
KH_00207,73,9623480.0,159738381.0,12,23.29,2,58726305.0,8,0.306,23.0,contract,mortgage,personal,none,2,0,0
KH_00208,33,8898112.0,75841875.0,12,4.26,0,15089815.0,7,0.103,1.46,full_time,own,business,none,0,0,0
KH_00209,62,7572150.0,101958669.0,24,21.19,2,7048380.0,0,0.223,7.86,full_time,own,education,none,3,0,1
KH_00210,32,30187281.0,176865873.0,24,21.06,1,37356135.0,4,0.122,4.16,self_employed,own,business,real_estate,0,3,0
KH_00211,58,21734575.0,86600362.0,60,3.42,0,19584379.0,6,0.469,26.44,full_time,rent,vehicle,none,3,1,0
KH_00212,62,18954554.0,122425282.0,120,2.71,0,4936044.0,2,0.466,25.65,full_time,rent,personal,savings,2,1,0
KH_00213,43,4000000.0,203755781.0,24,3.51,1,10244433.0,0,0.278,3.82,contract,family,debt_consolidation,none,4,0,1
KH_00214,60,68472467.0,164868766.0,12,20.41,0,41372987.0,3,0.54,21.04,full_time,own,debt_consolidation,vehicle,1,1,0
